"Übergeordnete ID-Nummer",ID-Nummer,Kurzname,Beschreibung,Beschreibungsformat,Skalenwerte,Skalenkonfiguration,"Regeltyp (optional)","Regelergebnis (optional)","Regelkonfiguration (optional)","Querverweisende Kompetenz-ID-Nummern","Exportierte ID (optional)","Ist Kompetenzrahmen",Taxonomie
greta-ka01-kb01,greta-ka01-kb01-kf03,"Rahmenbedingungen und Lernumgebungen","Die Kompetenzfacette Rahmenbedingungen und Lernumgebungen umfasst 
räumliche, zeitliche, personelle, mediale und organisatorische 
Rahmenbedingungen, in die das Lehr-Lern-Setting eingebettet ist und die 
mehr oder minder planvoll beeinflusst werden können. Zu den 
Rahmenbedingungen zählen beispielsweise die Teilnehmendenzahl, die 
Zielgruppe, das Thema, der physische oder digitale Ort, die Dauer, das 
Material sowie die Medien, welche zur Verfügung stehen. 
Digital-gestützte Lernumgebungen kommen immer häufiger zum Einsatz und 
lassen sich als planmäßig gestaltete Lernarrangements verstehen, in 
denen basierend auf digitalen Medien und Infrastrukturen 
Rahmenbedingungen geschaffen werden, die das Lernen ermöglichen und 
fördern sollen. Damit Lernprozesse erfolgreich verlaufen, müssen 
Lerninhalte und -ziele mit der gegebenen Lernumgebung kompatibel sein. 
Die Aufgabe der Lehrenden besteht daher darin, Rahmenbedingungen vorab 
zu klären und bestmöglich anzupassen und auszuschöpfen, um eine 
konstruktiv-unterstützende (digital-gestützte) Lernumgebung zu schaffen",1,,,,0,null,,13,,
greta-ka01-kb01-kf03,greta-ka01-kb01-kf03-l01,"Kennen und verstehen","<p dir=""ltr"" style=""text-align:left;"">Inhalte wiedergeben und einordnen<br /></p>",1,,,,0,null,,14,,
greta-ka01-kb01-kf03,greta-ka01-kb01-kf03-l02,"Anwenden und umsetzen","<p dir=""ltr"" style=""text-align:left;"">Inhalte anwenden und Vorgehensweisen umsetzen<br /></p>",1,,,,0,null,,15,,
greta-ka01-kb01-kf03,greta-ka01-kb01-kf03-l03,"Analysieren und beurteilen","<p dir=""ltr"" style=""text-align:left;"">Zusammenhänge und Situationen deuten und bewerten<br /></p>",1,,,,0,null,,16,,
greta-ka01-kb01-kf03,greta-ka01-kb01-kf03-l04,"Weiterentwickeln und kreieren","<p dir=""ltr"" style=""text-align:left;"">Inhalte aufeinander beziehen und Situationen neu gestalten<br /></p>",1,,,,0,null,,17,,
greta-ka01-kb01,greta-ka01-kb01-kf04,Outcomeorientierung,"Die Kompetenzfacette Outcomeorientierung umfasst die Ausrichtung des 
eigenen Lehrhandelns an zu erreichenden Lernergebnissen. Im Gegensatz 
dazu steht die Orientierung an Lerninhalten (Inputorientierung). Mit 
der Outcomeorientierung geht die Überzeugung einher, dass es nicht 
ausreicht, den Teilnehmenden lediglich die Lerninhalte zur Verfügung zu 
stellen, sondern dass das Lernen der Teilnehmenden gezielt angeregt, 
gefördert und ermöglicht werden soll. Zur Outcomeorientierung gehört, 
dass bereits die mikrodidaktische Feinplanung der konkreten 
Lehr-Lern-Aktivitäten, der einzusetzenden Methoden und Materialien immer
 auch im Hinblick auf die zu erreichenden Lernergebnisse erfolgt. Im 
Verlauf des Lehr-Lern-Geschehens muss die Erreichung der zuvor 
definierten Lernergebnisse durch Lernerfolgskontrollen im Sinne eines 
Soll-Ist-Vergleichs überprüft werden. Zeitpunkt bzw. Häufigkeit und Art 
der Lernerfolgskontrollen sollten situationsgerecht von der Lehrkraft 
bestimmt werden. Die Lernerfolgskontrollen sollten zudem so gestaltet 
sein, dass die Lernenden zur Reflexion ihres individuellen 
Kompetenzentwicklungsprozesses angeregt werden. Dazu muss die Lehrkraft 
verschiedene Methoden sowie (digitale) Tools/Werkzeuge kennen und im 
Hinblick auf ihre Eignung für den jeweils gegebenen Kontext (Art der zu 
überprüfenden Lernziele, Charakteristika der Teilnehmenden, 
Prüfungssituation etc.) sowie  im Hinblick auf datenschutzrechtlichen 
Aspekten beurteilen können. In rein digitalen Lehr-Lernsettings (z. B. 
in asynchronen Kursen auf Lehr-Lern-Plattformen) werden Lernstand und 
Lernerfolg häufig systemseitig definiert. Hier ist es erforderlich, dass
 Lehrende, die diesen Erhebungen zugrunde liegenden datengestützten 
Prozesse kennen und ggf. im Falle einer Nutzung der eigenen Beurteilung 
zur Seite stellen.",1,,,,0,null,,18,,
greta-ka01-kb01-kf04,greta-ka01-kb01-kf04-l01,"Kennen und verstehen","Inhalte wiedergeben und einordnen",1,,,,0,null,,19,,
greta-ka01-kb01-kf04,greta-ka01-kb01-kf04-l02,"Anwenden und umsetzen","<p dir=""ltr"" style=""text-align:left;"">Inhalte anwenden und Vorgehensweisen umsetzen<br /></p>",1,,,,0,null,,20,,
greta-ka01-kb01-kf04,greta-ka01-kb01-kf04-l03,"Analysieren und beurteilen","<p dir=""ltr"" style=""text-align:left;"">Zusammenhänge und Situationen deuten und bewerten<br /></p>",1,,,,0,null,,21,,
greta-ka01-kb01-kf04,greta-ka01-kb01-kf04-l04,"Weiterentwickeln und kreieren","<p dir=""ltr"" style=""text-align:left;"">Inhalte aufeinander beziehen und Situationen neu gestalten<br /></p>",1,,,,0,null,,22,,
greta-ka01,greta-ka01-kb02,"Beratung/Individualisierte Lernunterstützung","Beschreibung Beratung/Individualisierte Lernunterstützung<br />",1,,,,0,null,,23,,
greta-ka01-kb02,greta-ka01-kb02-kf01,Teilnehmendenorientierung,"<p dir=""ltr"" style=""text-align:left;"">Teilnehmende lassen sich von den Adressatinnen und Adressaten insofern 
unterscheiden, als dass Teilnehmende die Personen sind, die tatsächlich 
zu dem jeweiligen Kursangebot erscheinen, während Adressatinnen und 
Adressaten als potenzielle Zielgruppe zu verstehen sind. 
Teilnehmendenorientierung umfasst die Fähigkeit, bei der Planung und 
Durchführung eines Kurses Wissen über relevante Merkmale der 
Teilnehmenden zu berücksichtigen, um das Lernangebot möglichst gut auf 
die Bedürfnisse der Teilnehmenden hin abzustimmen: beispielsweise 
demografische Merkmale und soziokulturelle Prägungen, Vorkenntnisse, 
(Lern-) Interessen, vorhandene Ressourcen oder limitierende Faktoren. 
Konkret heißt dies, dass die ausgewählten Lehr-Lern-Aktivitäten, die 
Methoden, Techniken, (digitale) Medien, Tools/Werkzeuge, Inhalte und 
Materialien so weit wie möglich mit den Möglichkeiten und Interessen der
 Teilnehmenden im Einklang stehen sollen. Unter dem Aspekt von 
demokratischer Partizipation und Empowerment gehört zur 
Teilnehmendenorientierung ferner, die Teilnehmenden im Rahmen des 
Möglichen an Entscheidungen, die den Kurs betreffen zu beteiligen, ihre 
aktive Mitwirkung sowie ihre Selbststeuerungs- und Selbstlernkompetenzen
 zu stärken. Lehrende sollten die passenden Lernimpulse setzen und das 
Lernen anregen und unterstützen. In der Erwachsenen- und Weiterbildung 
unterscheiden sich die Teilnehmenden in einem Kurs meist stärker 
voneinander hinsichtlich des Alters, der ethnischen Herkunft und 
Nationalität, der Religion und Weltanschauung, einer möglichen 
Behinderung oder der sexuellen Orientierung und Identität, als es in 
anderen Bildungsbereichen der Fall ist. Gleiches gilt oft auch für die 
Vorkenntnisse und Vorbildung, welche die Teilnehmenden in den Kurs 
mitbringen. Bei divers zusammengesetzten Teilnehmendengruppen erfordert 
Teilnehmendenorientierung zudem die Fähigkeit zur Binnendifferenzierung 
und Individualisierung des Unterrichts.<br /></p>",1,,,,0,null,,24,,
greta-ka01-kb02-kf01,greta-ka01-kb02-kf01-l01,"Kennen und verstehen","<p dir=""ltr"" style=""text-align:left;"">Inhalte wiedergeben und einordnen<br /></p>",1,,,,0,null,,25,,
greta-ka01-kb02-kf01,greta-ka01-kb02-kf01-l02,"Anwenden und umsetzen","<p dir=""ltr"" style=""text-align:left;"">Inhalte anwenden und Vorgehensweisen umsetzen<br /></p>",1,,,,0,null,,26,,
greta-ka01-kb02-kf01,greta-ka01-kb02-kf01-l03,"Analysieren und beurteilen","<p dir=""ltr"" style=""text-align:left;"">Zusammenhänge und Situationen deuten und bewerten<br /></p>",1,,,,0,null,,27,,
greta-ka01-kb02-kf01,greta-ka01-kb02-kf01-l04,"Weiterentwickeln und kreieren","<p dir=""ltr"" style=""text-align:left;"">Inhalte aufeinander beziehen und Situationen neu gestalten<br /></p>",1,,,,0,null,,28,,
greta-ka01-kb02,greta-ka01-kb02-kf02,"Diagnostik und Lernberatung","<p dir=""ltr"" style=""text-align:left;"">Lehrende müssen die Lernausgangslagen und Lernvoraussetzungen wie 
beispielsweise Vorwissen, kognitive Bedingungen, Motivationen und 
Interessen der Lernenden analysieren, um optimale Lernunterstützung 
geben zu können. Für eine zielgerichtete Reaktion auf 
Lernschwierigkeiten ist es zuerst notwendig, die genauen Lernhindernisse
 und -probleme sowie die Gründe hierfür zu erkennen. Um die notwendigen 
Informationen über die Lernenden zu erhalten, können Lehrende 
unterschiedliche diagnostische Instrumente und digitale Tools/Werkzeuge 
unter Wahrung der datenschutzrechtlichen Bestimmungen einsetzen, die 
Ergebnisse auswerten und für Lernberatungsgespräche nutzen. Die 
Lernberatungsgespräche sind als direkte individuelle und 
personenbezogene Interaktionsprozesse zwischen Lehrenden und Lernenden 
zu verstehen. Im Rahmen eines Lernberatungsgesprächs geht es um das 
Reflektieren und Ermitteln von individuellen Lernsituationen und 
-problemen einzelner Lernender. Durch gemeinsames Reflektieren und 
Verstehen können so individuelle Lerngründe ermittelt und entsprechende 
Lernimpulse gesetzt werden. <br /></p>",1,,,,0,null,,29,,
greta-ka01-kb02-kf02,greta-ka01-kb02-kf02-l01,"Kennen und verstehen","<p dir=""ltr"" style=""text-align:left;"">Inhalte wiedergeben und einordnen<br /></p>",1,,,,0,null,,30,,
greta-ka01-kb02-kf02,greta-ka01-kb02-kf02-l02,"Anwenden und umsetzen","<p dir=""ltr"" style=""text-align:left;"">Inhalte anwenden und Vorgehensweisen umsetzen<br /></p>",1,,,,0,null,,31,,
greta-ka01-kb02-kf02,greta-ka01-kb02-kf02-l03,"Analysieren und beurteilen","<p dir=""ltr"" style=""text-align:left;"">Zusammenhänge und Situationen deuten und bewerten<br /></p>",1,,,,0,null,,32,,
greta-ka01-kb02-kf02,greta-ka01-kb02-kf02-l04,"Weiterentwickeln und kreieren","<p dir=""ltr"" style=""text-align:left;"">Inhalte aufeinander beziehen und Situationen neu gestalten<br /></p>",1,,,,0,null,,33,,
greta-ka01,greta-ka01-kb03,"Kommunikation und Interaktion","<p dir=""ltr"" style=""text-align:left;"">Beschreibung Kommunikation und Interaktion<br /></p>",1,,,,0,null,,34,,
greta-ka01-kb03,greta-ka01-kb03-kf01,"Moderation und Steuerung von Gruppen","<p dir=""ltr"" style=""text-align:left;"">In der Erwachsenenbildung findet Lernen häufig gemeinsam in der Gruppe 
statt. Eine Gruppe stellt eine Ansammlung von Individuen dar, in der 
soziales Lernen zur Entfaltung einer eigenen Qualität und Dynamik führt.
 Dabei werden die Lernchancen und Lerngrenzen durch Umgangsformen und 
Kommunikationsstile der Gruppenmitglieder beeinflusst. Neben dem 
Verstehen und Leiten von Gruppen sowie dem Wissen um Gruppendynamiken 
und -strukturen sollten Lehrende daher die Fähigkeit besitzen, 
Kommunikationsprozesse moderierend zu leiten, zu steuern und die 
Vernetzung der Lernenden zu ermöglichen. Diese Art der Gruppenleitung 
zielt darauf ab, das Leistungspotenzial der Gruppe zu aktivieren und zu 
nutzen. Gruppen können sowohl im Präsenzraum als auch in 
digital-gestützten Lehr-Lern-Settings zusammenarbeiten. Grundsätzlich 
sind (Online-)Gruppenprozesse durch entsprechende (digitale) 
Tools/Werkzeuge und (Online-)Moderationstechniken sinnvoll zu steuern 
und zu strukturieren. Dazu gehört auch der konstruktive Umgang mit 
technischen Problemen und Störungen innerhalb der Gruppe. Bei der 
Steuerung von Gruppenprozessen besteht die Herausforderung darin, eine 
vertrauensvolle Gesprächsatmosphäre herzustellen, Lernenden Raum zu 
geben und eine Lernatmosphäre zu schaffen, in der sich Teilnehmende 
sicher und wohl fühlen, motiviert sind und ihr individuelles 
Leistungspotenzial zeigen können. Es lassen sich synchrone (also 
zeitgleiche) und asynchrone (also zeitversetzte) Prozessverläufe 
unterscheiden. Synchrone Kommunikationsverläufe finden sowohl in 
digital-gestützten Lehr-Lern-Settings als auch im Präsenzraum statt. 
Asynchrone Kommunikation findet vor allem durch digitale Medien und 
mithilfe digitaler Anwendungen, Tools und Werkzeugen statt. Die 
Moderation bzw. Steuerung von asynchron zusammenarbeitenden Gruppen 
erfordert von den Lehrenden eine gute Strukturierung und Filterung der 
Beiträge.<br /></p>",1,,,,0,null,,35,,
greta-ka01-kb03-kf01,greta-ka01-kb03-kf01-l01,"Kennen und verstehen","<p dir=""ltr"" style=""text-align:left;"">Inhalte wiedergeben und einordnen<br /></p>",1,,,,0,null,,36,,
greta-ka01-kb03-kf01,greta-ka01-kb03-kf01-l02,"Anwenden und umsetzen","<p dir=""ltr"" style=""text-align:left;"">Inhalte anwenden und Vorgehensweisen umsetzen<br /></p>",1,,,,0,null,,37,,
greta-ka01-kb03-kf01,greta-ka01-kb03-kf01-l03,"Analysieren und beurteilen","<p dir=""ltr"" style=""text-align:left;"">Zusammenhänge und Situationen deuten und bewerten<br /></p>",1,,,,0,null,,38,,
greta-ka01-kb03-kf01,greta-ka01-kb03-kf01-l04,"Weiterentwickeln und kreieren","<p dir=""ltr"" style=""text-align:left;"">Inhalte aufeinander beziehen und Situationen neu gestalten<br /></p>",1,,,,0,null,,39,,
greta-ka01-kb03,greta-ka01-kb03-kf02,"Professionelle Kommunikation","<p dir=""ltr"" style=""text-align:left;"">Die Relevanz einer professionellen Kommunikation zeigt sich an vielen 
Stellen im Lehr-Lern-Prozess. Innerhalb und außerhalb des 
Unterrichtsgeschehens sind Umgangsformen und professionelle 
Gesprächsführung elementar. Diese Kommunikationsabläufe können von 
Lehrenden gestaltet werden. Zum pädagogischen Repertoire der Lehrenden 
gehören die Beachtung allgemeiner Umgangsregeln sowie die Gestaltung 
einer kooperativen Gesprächskultur. Außerdem sollten Lehrende 
organisatorische Kommunikationsabläufe sicherstellen und steuern. Diese 
können mithilfe digitaler Medien, Tools und Werkzeugen unterstützt 
werden, indem Lehrende beispielsweise verschiedene digitale 
Kommunikationstools sinnvoll für den Austausch mit den Teilnehmenden 
nutzen (z. B. zur Klärung organisatorischer Aspekte). So werden 
organisatorische Abläufe verbessert und zusätzliche Informationen 
bereitgestellt. Auch im digitalen Raum ist es erforderlich, 
Verbindlichkeiten zwischen den Lernenden zu schaffen und Umgangsregeln 
für die gemeinsame Kommunikation wie eine Netiquette zu etablieren. 
Dabei gilt es, die Besonderheiten verbaler und non-verbaler 
Kommunikation (z. B. Gestik, Mimik, Körpersprache) in digitalen 
Lernumgebungen zu berücksichtigen.<br /></p>",1,,,,0,null,,40,,
greta-ka01-kb03-kf02,greta-ka01-kb03-kf02-l01,"Kennen und verstehen","<p dir=""ltr"" style=""text-align:left;"">Inhalte wiedergeben und einordnen<br /></p>",1,,,,0,null,,41,,
greta-ka01-kb03-kf02,greta-ka01-kb03-kf02-l02,"Anwenden und umsetzen","<p dir=""ltr"" style=""text-align:left;"">Inhalte anwenden und Vorgehensweisen umsetzen<br /></p>",1,,,,0,null,,42,,
greta-ka01-kb03-kf02,greta-ka01-kb03-kf02-l03,"Analysieren und beurteilen","<p dir=""ltr"" style=""text-align:left;"">Zusammenhänge und Situationen deuten und bewerten<br /></p>",1,,,,0,null,,43,,
greta-ka01-kb03-kf02,greta-ka01-kb03-kf02-l04,"Weiterentwickeln und kreieren","<p dir=""ltr"" style=""text-align:left;"">Inhalte aufeinander beziehen und Situationen neu gestalten<br /></p>",1,,,,0,null,,44,,
greta-ka01,greta-ka01-kb04,Organisation,"<p dir=""ltr"" style=""text-align:left;"">Beschreibung Organisation<br /></p>",1,,,,0,null,,45,,
greta-ka01-kb04,greta-ka01-kb04-kf01,"Kooperation mit den Auftraggebenden/Arbeitgebenden","<p dir=""ltr"" style=""text-align:left;"">Lehrende in der Erwachsenen- und Weiterbildung sollen unabhängig von 
ihrer Beschäftigungssituation (freiberuflich tätig oder fest angestellt)
 in der Lage sein, gut mit (potenziellen) Auftraggebenden bzw. 
Arbeitgebenden zu kooperieren. Kooperation ist erforderlich bei der 
Neukonzipierung oder Erweiterung von Angeboten zum Informationsaustausch
 sowie bei der Suche nach gemeinsamen Problemlösungen. Dazu bedarf es 
sozialer und kommunikativer Fähigkeiten, Verhandlungsgeschick, 
Überzeugungsfähigkeit, Konfliktfähigkeit und Problemlösungskompetenz. 
Freiberuflich tätig Lehrende, die neue Kooperationen anbahnen wollen, 
müssen zudem in der Lage sein, sich relevante Informationen über 
potenzielle Auftraggebende bzw. Arbeitgebende zu beschaffen, 
beispielsweise zu deren Zielen, Adressatinnen und Adressaten, ihrem 
Programm, spezifischen Honorarkorridoren, vorhandener (medialer) 
Ausstattung sowie zu deren Organisationskultur und Werten. Hierzu sind 
Fähigkeiten zur Informationsrecherche und -bewertung unter Nutzung 
geeigneter (digitaler) Kanäle sowie Tools und Werkzeuge erforderlich. 
Lehrende können mithilfe sozialer Medien potenzielle Auftraggebende bzw.
 Arbeitgebende auf ihr berufliches Profil und ihre Angebote aufmerksam 
machen.<br /></p>",1,,,,0,null,,46,,
greta-ka01-kb04-kf01,greta-ka01-kb04-kf01-l01,"Kennen und verstehen","<p dir=""ltr"" style=""text-align:left;"">Inhalte wiedergeben und einordnen<br /></p>",1,,,,0,null,,47,,
greta-ka01-kb04-kf01,greta-ka01-kb04-kf01-l02,"Anwenden und umsetzen","<p dir=""ltr"" style=""text-align:left;"">Inhalte anwenden und Vorgehensweisen umsetzen<br /></p>",1,,,,0,null,,48,,
greta-ka01-kb04-kf01,greta-ka01-kb04-kf01-l03,"Analysieren und beurteilen","<p dir=""ltr"" style=""text-align:left;"">Zusammenhänge und Situationen deuten und bewerten<br /></p>",1,,,,0,null,,49,,
greta-ka01-kb04-kf01,greta-ka01-kb04-kf01-l04,"Weiterentwickeln und kreieren","<p dir=""ltr"" style=""text-align:left;"">Inhalte aufeinander beziehen und Situationen neu gestalten<br /></p>",1,,,,0,null,,50,,
greta-ka01-kb04,greta-ka01-kb04-kf02,"Kollegiale Zusammenarbeit/Netzwerken","<p dir=""ltr"" style=""text-align:left;"">Für die Verortung von eigenen Angeboten benötigen Lehrende Kenntnisse 
über die Strukturen und Angebote der Einrichtung, für die sie tätig 
sind. Auf diese Weise können sie Querverbindungen zu anderen Angeboten 
herstellen. Dazu bedarf es Fähigkeiten der kollegialen und 
kommunikativen Zusammenarbeit innerhalb und außerhalb von beauftragenden
 Einrichtungen sowie in interdisziplinären Teams. Bei der Lösung 
technischer oder fachlich-didaktischer Fragestellungen kann eine 
Zusammenarbeit mit interdisziplinären Teams oder Netzwerken 
gewinnbringend sein. Dazu gehört auch die Erstellung und der Austausch 
von freien Lern- und Lehrmaterialien, die unter offener Lizenz geteilt 
werden können (Open Educational Resources, OER). Die Vernetzung und 
Zusammenarbeit von Lehrenden kann über unterschiedliche formalisierte 
und informelle Formate wie beispielsweise durch den kollegialen 
Austausch, Fachtagungen, Netzwerke, professionelle Lerngemeinschaften 
oder über Soziale Medien erfolgen.<br /></p>",1,,,,0,null,,51,,
greta-ka01-kb04-kf02,greta-ka01-kb04-kf02-l01,"Kennen und verstehen","<p dir=""ltr"" style=""text-align:left;"">Inhalte wiedergeben und einordnen<br /></p>",1,,,,0,null,,52,,
greta-ka01-kb04-kf02,greta-ka01-kb04-kf02-l02,"Anwenden und umsetzen","<p dir=""ltr"" style=""text-align:left;"">Inhalte anwenden und Vorgehensweisen umsetzen<br /></p>",1,,,,0,null,,53,,
greta-ka01-kb04-kf02,greta-ka01-kb04-kf02-l03,"Analysieren und beurteilen","<p dir=""ltr"" style=""text-align:left;"">Zusammenhänge und Situationen deuten und bewerten<br /></p>",1,,,,0,null,,54,,
greta-ka01-kb04-kf02,greta-ka01-kb04-kf02-l04,"Weiterentwickeln und kreieren","<p dir=""ltr"" style=""text-align:left;"">Inhalte aufeinander beziehen und Situationen neu gestalten<br /></p>",1,,,,0,null,,55,,
,greta-ka02,"Fach- und Feldspezifisches Wissen","<p dir=""ltr"" style=""text-align:left;"">Beschreibung Fach- und Feldspezifisches Wissen<br /></p>",1,,,,0,null,,56,,
greta-ka02,greta-ka02-kb01,Feldbezug,"Beschreibung Feldbezug<br />",1,,,,0,null,,57,,
greta-ka02-kb01,greta-ka02-kb01-kf01,"Adressatinnen und Adressaten","<p dir=""ltr"" style=""text-align:left;"">Die Adressatinnen und Adressaten eines bestimmten Lehr-Lern-Angebots 
sind dessen potenzielle Zielgruppe, also alle Personen, an die sich das 
Angebot richtet. Im Unterschied dazu sind Teilnehmende diejenigen 
Personen, die tatsächlich zu dem jeweiligen Kursangebot erscheinen. Die 
Adressatinnen und Adressaten eines Angebots zeichnen sich durch 
bestimmte Merkmale aus (z. B. eine bestimmte Altersspanne, bestimmte 
Interessenlagen, berufliche Ziele, Lebenssituationen, Vorkenntnisse), 
aufgrund derer sie sich zur Zielgruppe des jeweiligen Kurses zählen 
lassen. Die Beschäftigung mit Adressatinnen und Adressaten ist für 
Lehrende vor allem in der Planungsphase des Angebots relevant. Lehrende 
müssen Wissen über die relevanten Charakteristika der Adressatinnen und 
Adressaten (z. B. Interessen, Gewohnheiten, Vorlieben, Bedürfnisse, 
Ängste, vorhandene Ressourcen, Nutzungsgewohnheiten in Bezug auf 
digitale Medien und Tools, bestehende Einschränkungen und Barrieren 
etc.) haben. Zudem benötigen die Lehrenden das Wissen darüber, dass sich
 die Gruppe der Adressatinnen und Adressaten durch die Digitalisierung 
verändern kann, da digitale Lehr-Lern-Angebote eine ortsunabhängige 
Teilnahme ermöglichen.<br /></p>",1,,,,0,null,,58,,
greta-ka02-kb01-kf01,greta-ka02-kb01-kf01-l01,"Kennen und verstehen","<p dir=""ltr"" style=""text-align:left;"">Inhalte wiedergeben und einordnen<br /></p>",1,,,,0,null,,59,,
greta-ka02-kb01-kf01,greta-ka02-kb01-kf01-l02,"Anwenden und umsetzen","<p dir=""ltr"" style=""text-align:left;"">Inhalte anwenden und Vorgehensweisen umsetzen<br /></p>",1,,,,0,null,,60,,
